"StockName","TotalScore","AverageStability","AverageGrowth","DailyStability","WeeklyStability","Growth15Session","Growth30Session","Growth100Session","Growth200Session"
"CLASSIC.NS","91.28691060882684","101.09233973617219","81.48148148148148","51.006711409395976","134.48275862068965","44.44444444444444","100.0","100.0","0.0"
"MADHUCON.NS","91.06666666666666","111.3","70.83333333333333","56.25","148.0","62.5","50.0","100.0","0.0"
"NICCO.NS","90.75641025641025","114.84615384615384","66.66666666666667","84.61538461538461","135.0","33.333333333333336","66.66666666666667","100.0","0.0"
"SAMTEL.NS","89.95076978159685","121.56820622986037","58.333333333333336","59.183673469387756","163.1578947368421","50.0","66.66666666666667","0.0","0.0"
"VINYLINDI.NS","89.90391348061438","101.92321157661337","77.88461538461539","53.588516746411486","134.14634146341464","61.53846153846154","50.0","100.0","100.0"
"KITEX.NS","89.88095238095238","83.33333333333333","96.42857142857143","54.76190476190476","102.38095238095238","57.142857142857146","28.571428571428573","100.0","200.0"
"SYMPHONY.NS","89.86904761904762","102.95238095238095","76.78571428571429","53.8095238095238","135.71428571428572","64.28571428571429","42.85714285714286","100.0","100.0"
"SUNDRMFAS.NS","89.6547619047619","98.95238095238095","80.35714285714286","50.95238095238095","130.95238095238096","50.0","71.42857142857143","100.0","100.0"
"NRBBEARIN.NS","89.55194805194805","104.55844155844156","74.54545454545455","55.68181818181819","137.14285714285714","63.63636363636364","60.0","100.0","0.0"
"CENTURYPL.NS","89.4404761904762","102.0952380952381","76.78571428571429","62.38095238095238","128.57142857142858","64.28571428571429","42.85714285714286","100.0","100.0"
"EUROCERA.NS","88.95721925133691","132.91443850267382","45.0","85.22727272727273","164.7058823529412","40.0","50.0","0.0","0.0"
"DYNAMATEC.NS","88.75","122.5","55.0","62.5","162.5","60.0","50.0","0.0","0.0"
"JKLAKSHMI.NS","88.16666666666666","101.33333333333333","75.0","53.33333333333333","133.33333333333334","42.85714285714286","57.142857142857146","100.0","100.0"
"VIPUL.NS","88.16144874155924","106.87845303867402","69.44444444444444","54.69613259668509","141.66666666666666","58.333333333333336","50.0","100.0","0.0"
"ICIL.NS","87.44635178685243","100.85424203524332","74.03846153846155","65.55023923444976","124.39024390243902","46.15384615384615","50.0","100.0","100.0"
"ANGIND.NS","87.21455938697318","102.20689655172414","72.22222222222221","53.793103448275865","134.48275862068965","66.66666666666666","50.0","100.0","0.0"
"BODALCHEM.NS","86.61484889939062","95.04787961696306","78.18181818181819","52.32558139534884","123.52941176470588","54.54545454545455","80.0","100.0","0.0"
"HSIL.NS","86.48809523809524","96.1904761904762","76.78571428571428","47.61904761904761","128.57142857142858","50.0","57.142857142857146","100.0","100.0"
"ENTEGRA.NS","85.69415964152807","101.5470494417863","69.84126984126983","56.14035087719298","131.81818181818184","42.85714285714286","66.66666666666667","100.0","0.0"
"SPMLINFRA.NS","85.51718440185063","116.03436880370126","55.0","60.67415730337079","152.94117647058823","60.0","50.0","0.0","0.0"
"WABAG.NS","85.35256410256412","91.53846153846155","79.16666666666667","50.0","119.23076923076924","62.5","75.0","100.0","0.0"
"TATASPONG.NS","85.04071773636991","95.4782608695652","74.60317460317461","49.565217391304344","126.08695652173913","57.142857142857146","66.66666666666667","100.0","0.0"
"NBCC.NS","84.73809523809524","94.47619047619048","75.0","57.61904761904761","119.04761904761905","42.85714285714286","57.142857142857146","100.0","100.0"
"DALMIABHA.NS","84.69052088521116","105.88897827835882","63.492063492063494","60.17699115044248","136.36363636363637","57.142857142857146","33.333333333333336","100.0","0.0"
"CIMMCO.NS","84.6650914320937","99.33018286418739","70.0","54.77707006369427","129.03225806451613","50.0","60.0","100.0","0.0"
"JAIHINDPR.NS","84.62765957446808","110.92198581560282","58.333333333333336","60.638297872340424","144.44444444444443","50.0","66.66666666666667","0.0","0.0"
"SALSTEEL.NS","84.53261464505842","89.70014992503746","79.36507936507937","61.206896551724135","108.69565217391303","71.42857142857143","66.66666666666667","100.0","0.0"
"SOMANYCER.NS","84.44166666666666","98.05","70.83333333333333","53.125","128.0","37.5","75.0","100.0","0.0"
"ALMONDZ.NS","84.42939632545932","102.19212598425197","66.66666666666667","57.480314960629926","132.0","50.0","50.0","100.0","0.0"
"STERTOOLS.NS","84.20541509251187","104.52194129613484","63.88888888888889","58.60215053763441","135.13513513513513","41.66666666666667","50.0","100.0","0.0"
"MELSTAR.NS","84.0625","118.125","50.0","57.8125","158.33333333333334","50.0","50.0","0.0","0.0"
"KSL.NS","84.04861261372653","99.61237674260457","68.48484848484848","54.91329479768787","129.41176470588238","45.45454545454546","60.0","100.0","0.0"
"DLINKINDI.NS","84.01923076923077","105.53846153846155","62.5","44.61538461538462","146.15384615384616","75.0","50.0","0.0","0.0"
"SANGHVIMO.NS","83.99856553702708","96.48197955890264","71.51515151515152","50.295857988165686","127.27272727272727","54.54545454545455","60.0","100.0","0.0"
